TMP,HUM,C02,V_ST,Time,D_N
23.93,54.87,2,100%,Fri Oct 21 17:30:54 2022,375
23.92,54.8,2,100%,Fri Oct 21 17:31:04 2022,376
23.92,54.92,2,100%,Fri Oct 21 17:31:14 2022,377
23.92,55.43,2,100%,Fri Oct 21 17:31:24 2022,378
23.9,55.17,2,100%,Fri Oct 21 17:31:34 2022,379
23.92,55.21,2,100%,Fri Oct 21 17:31:44 2022,380
23.93,55.36,2,100%,Fri Oct 21 17:31:54 2022,381
23.93,55.21,2,100%,Fri Oct 21 17:32:04 2022,382
23.93,55.31,2,100%,Fri Oct 21 17:32:14 2022,383
23.93,55.53,2,100%,Fri Oct 21 17:32:25 2022,384
23.92,55.39,2,100%,Fri Oct 21 17:32:35 2022,385
23.93,55.5,2,100%,Fri Oct 21 17:32:45 2022,386
23.92,55.07,2,100%,Fri Oct 21 17:32:55 2022,387
23.93,54.97,2,100%,Fri Oct 21 17:33:05 2022,388
23.92,54.87,2,100%,Fri Oct 21 17:33:15 2022,389
23.92,54.65,2,100%,Fri Oct 21 17:33:25 2022,390
23.9,54.55,2,100%,Fri Oct 21 17:33:35 2022,391
23.89,54.65,2,100%,Fri Oct 21 17:33:45 2022,392
23.9,54.75,2,100%,Fri Oct 21 17:33:55 2022,393
23.9,54.97,2,100%,Fri Oct 21 17:34:05 2022,394
23.9,55.31,2,100%,Fri Oct 21 17:34:15 2022,395
23.93,55.48,2,100%,Fri Oct 21 17:34:25 2022,396
23.93,55.17,2,100%,Fri Oct 21 17:34:35 2022,397
23.93,55.02,2,100%,Fri Oct 21 17:34:45 2022,398
23.93,55.07,2,100%,Fri Oct 21 17:34:55 2022,399
23.93,55.36,2,100%,Fri Oct 21 17:35:05 2022,400
23.93,55.34,2,100%,Fri Oct 21 17:35:15 2022,401
23.93,55.39,2,100%,Fri Oct 21 17:35:25 2022,402
23.95,55.31,2,100%,Fri Oct 21 17:35:35 2022,403
23.93,54.9,2,100%,Fri Oct 21 17:35:45 2022,404
23.92,54.92,2,100%,Fri Oct 21 17:35:56 2022,405
23.92,54.75,2,100%,Fri Oct 21 17:36:06 2022,406
23.93,55.14,2,100%,Fri Oct 21 17:36:16 2022,407
23.9,55.21,2,100%,Fri Oct 21 17:36:26 2022,408
23.92,55.41,2,100%,Fri Oct 21 17:36:36 2022,409
23.92,54.99,2,100%,Fri Oct 21 17:36:46 2022,410
23.9,54.39,2,100%,Fri Oct 21 17:36:56 2022,411
23.9,54.63,2,100%,Fri Oct 21 17:37:06 2022,412
23.9,54.8,2,100%,Fri Oct 21 17:37:16 2022,413
23.9,54.68,2,100%,Fri Oct 21 17:37:26 2022,414
23.89,54.95,2,100%,Fri Oct 21 17:37:36 2022,415
23.89,55.26,2,100%,Fri Oct 21 17:37:46 2022,416
23.9,55.43,2,100%,Fri Oct 21 17:37:56 2022,417
23.9,55.39,2,100%,Fri Oct 21 17:38:06 2022,418
23.89,55.55,2,100%,Fri Oct 21 17:38:16 2022,419
